EMP_ID,EMP_LAST_NAME,EMP_FIRST_NAME,EMP_SSN,BIRTH_DATE,HIRE_DATE,SALARY,COUNTRY_ID,DIST_CTR_ID,MANAGER_ID,CALL_CTR_ID,FTE_FLAG
1,Bates,Michael,089118610,1980-08-29 00:00:00.000,2003-04-23 00:00:00.000,31000,1,4,16,2,Y
2,Becker,Kyle,071084558,1983-08-15 00:00:00.000,2002-05-02 00:00:00.000,22000,1,11,14,4,Y
3,Bell,Caitlin,037206702,1959-02-08 00:00:00.000,2001-08-27 00:00:00.000,35000,1,4,16,2,Y
4,Benner,Ian,010816565,1957-10-23 00:00:00.000,2003-01-26 00:00:00.000,24000,1,10,8,1,Y
5,Bernstein,Lawrence,028772433,1972-06-08 00:00:00.000,2003-01-15 00:00:00.000,31000,1,3,6,5,Y
6,Bogus,Dirk,027323213,1975-12-25 00:00:00.000,2001-02-28 00:00:00.000,27000,5,1,5,3,Y
7,Brown,Vernon,023062336,1951-11-14 00:00:00.000,2003-02-18 00:00:00.000,40000,1,15,4,17,Y
8,Conner,Beatrice,046751529,1964-02-23 00:00:00.000,2003-05-08 00:00:00.000,24000,1,12,13,9,Y
9,Corcoran,Peter,052823374,1965-09-09 00:00:00.000,2003-05-17 00:00:00.000,27000,1,15,4,17,Y
10,De Le Torre,Sandra,014680504,1960-01-26 00:00:00.000,2003-02-25 00:00:00.000,31000,1,6,1,11,Y
11,Ellerkamp,Nancy,029059128,1971-11-28 00:00:00.000,2003-02-14 00:00:00.000,40000,1,14,10,14,Y
12,Folks,Adrienne,011688912,1978-06-19 00:00:00.000,2003-07-12 00:00:00.000,24000,1,3,6,5,Y
13,Gale,Loren,096830288,1974-06-25 00:00:00.000,2003-01-11 00:00:00.000,35000,1,16,9,8,Y
14,Gedot,Harriet,056850444,1966-07-16 00:00:00.000,2003-01-31 00:00:00.000,27000,1,2,15,10,Y
15,Hall,David,038014900,1954-03-24 00:00:00.000,2002-11-30 00:00:00.000,31000,1,11,14,4,Y
16,Hollywood,Robert,015934022,1950-08-02 00:00:00.000,2003-04-28 00:00:00.000,40000,1,3,6,5,Y
17,Hunt,Matthew,037511734,1978-07-08 00:00:00.000,2003-04-18 00:00:00.000,22000,1,9,17,6,Y
18,Ingles,Walter,021584881,1957-09-14 00:00:00.000,2002-09-13 00:00:00.000,22000,1,15,4,17,N
19,Johnson,Andrew,065643500,1970-01-09 00:00:00.000,2003-07-08 00:00:00.000,27000,1,4,16,2,N
20,Kelly,Laura,019490286,1977-04-10 00:00:00.000,2003-05-19 00:00:00.000,35000,1,8,2,12,Y
21,Kieferson,Jack,013485556,1967-02-14 00:00:00.000,2002-06-06 00:00:00.000,22000,1,6,1,11,Y
22,Lee,Jennifer,056581000,1956-08-02 00:00:00.000,2003-02-05 00:00:00.000,35000,3,1,3,13,Y
23,Lundergard,Kari,015222580,1979-07-29 00:00:00.000,2002-03-15 00:00:00.000,27000,4,1,12,16,Y
24,Lynch,Sam,057541342,1972-07-04 00:00:00.000,2003-02-25 00:00:00.000,22000,1,5,7,7,Y
25,McClain,Sean,034298754,1957-11-14 00:00:00.000,2001-04-26 00:00:00.000,42000,1,10,8,1,Y
26,Miner,Henry,011539992,1978-06-19 00:00:00.000,2003-05-27 00:00:00.000,22000,3,1,3,13,Y
27,Nelson,Arthur,011333746,1965-05-22 00:00:00.000,2002-07-17 00:00:00.000,27000,1,12,13,9,Y
28,Pierce,Charles,062464249,1978-02-12 00:00:00.000,2003-03-14 00:00:00.000,35000,1,13,11,15,Y
29,Sable,Ellen,069122896,1960-04-07 00:00:00.000,2002-08-09 00:00:00.000,24000,5,1,5,3,Y
30,Sawyer,Leanne,048990070,1958-12-09 00:00:00.000,2003-04-27 00:00:00.000,24000,1,8,2,12,Y
31,Schafer,Rose,052488020,1965-10-31 00:00:00.000,2003-02-16 00:00:00.000,24000,1,4,16,2,N
32,Smith,Thomas,022071808,1962-10-26 00:00:00.000,2003-02-26 00:00:00.000,35000,1,15,4,17,N
33,Sonder,Melanie,032897728,1972-03-30 00:00:00.000,2003-02-17 00:00:00.000,24000,1,6,1,11,N
34,Strome,Fred,073263480,1962-05-06 00:00:00.000,2001-08-29 00:00:00.000,31000,1,5,7,7,Y
35,Torrison,Mary,060749910,1951-06-22 00:00:00.000,2003-02-20 00:00:00.000,42000,1,16,9,8,Y
36,Yager,Beth,029301277,1974-12-07 00:00:00.000,2003-03-06 00:00:00.000,27000,1,8,2,12,Y
37,Young,Sarah,070341381,1958-08-24 00:00:00.000,2003-03-01 00:00:00.000,27000,1,15,4,17,N
38,Zemlicka,George,038373564,1976-06-29 00:00:00.000,2002-01-19 00:00:00.000,31000,1,16,9,8,N
39,Walker,Robert,584632651,1983-01-01 00:00:00.000,2005-03-15 00:00:00.000,21000,7,1,18,18,Y
